OrderID,ProductName,BOMLineNo,PartName,MaterialSpec,Qty,Unit,Notes
5,Arc Surface Laminating Roller,1,Roller Core (Shaft),Steel (Arc Lamination),78,piece,Inner diameter ~ 26.0mm; length ~ 600.0mm
5,Arc Surface Laminating Roller,2,Arc Lamination Rubber,Hardness ~ 37 Shore A,57.02,kg,Ring volume calculation for rubber cover
5,Arc Surface Laminating Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,4680.0,ml,Estimated usage scaled by quantity
5,Arc Surface Laminating Roller,4,End Caps (if applicable),Steel or Aluminum,156,pieces,2 end caps per roller
5,Arc Surface Laminating Roller,5,Bearings,Ball/Tapered Roller Bearing,156,pieces,2 bearings per roller
5,Arc Surface Laminating Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
5,Arc Surface Laminating Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
6,NBR Rubber Roller,1,Roller Core (Shaft),Steel (NBR),105,piece,Inner diameter ~ 21.0mm; length ~ 465.0mm
6,NBR Rubber Roller,2,NBR Rubber Compound,Hardness ~ 41 Shore A,59.87,kg,Ring volume calculation for rubber cover
6,NBR Rubber Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,5250.0,ml,Estimated usage scaled by quantity
6,NBR Rubber Roller,4,End Caps (if applicable),Steel or Aluminum,210,pieces,2 end caps per roller
6,NBR Rubber Roller,5,Bearings,Ball/Tapered Roller Bearing,210,pieces,2 bearings per roller
6,NBR Rubber Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
6,NBR Rubber Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
7,Woodworking Infeed Roller,1,Roller Core (Shaft),Carbon Steel (Woodworking Grade),60,piece,Inner diameter ~ 23.0mm; length ~ 675.0mm
7,Woodworking Infeed Roller,2,Rubber Compound (Cover),Hardness ~ 49 Shore A,9.73,kg,Ring volume calculation for rubber cover
7,Woodworking Infeed Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,3600.0,ml,Estimated usage scaled by quantity
7,Woodworking Infeed Roller,4,End Caps (if applicable),Steel or Aluminum,120,pieces,2 end caps per roller
7,Woodworking Infeed Roller,5,Bearings,Ball/Tapered Roller Bearing,120,pieces,2 bearings per roller
7,Woodworking Infeed Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
7,Woodworking Infeed Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
8,Arc Surface Laminating Roller,1,Roller Core (Shaft),Steel (Arc Lamination),85,piece,Inner diameter ~ 25.0mm; length ~ 753.0mm
8,Arc Surface Laminating Roller,2,Arc Lamination Rubber,Hardness ~ 44 Shore A,34.69,kg,Ring volume calculation for rubber cover
8,Arc Surface Laminating Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,5100.0,ml,Estimated usage scaled by quantity
8,Arc Surface Laminating Roller,4,End Caps (if applicable),Steel or Aluminum,170,pieces,2 end caps per roller
8,Arc Surface Laminating Roller,5,Bearings,Ball/Tapered Roller Bearing,170,pieces,2 bearings per roller
8,Arc Surface Laminating Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
8,Arc Surface Laminating Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
9,Steel Coil Tension Roller,1,Roller Core (Shaft),Carbon Steel (Heavy-Duty),73,piece,Inner diameter ~ 20.0mm; length ~ 575.0mm
9,Steel Coil Tension Roller,2,High-Tension PU Cover,Hardness ~ 88 Shore A,63.3,kg,Ring volume calculation for rubber cover
9,Steel Coil Tension Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,5110.0,ml,Estimated usage scaled by quantity
9,Steel Coil Tension Roller,4,End Caps (if applicable),Steel or Aluminum,146,pieces,2 end caps per roller
9,Steel Coil Tension Roller,5,Bearings,Ball/Tapered Roller Bearing,146,pieces,2 bearings per roller
9,Steel Coil Tension Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
9,Steel Coil Tension Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
10,Flexo Printing Roller,1,Roller Core (Shaft),Alloy Steel (Flexo),78,piece,Inner diameter ~ 22.0mm; length ~ 401.0mm
10,Flexo Printing Roller,2,Flexo Rubber Compound,Hardness ~ 30 Shore A,21.48,kg,Ring volume calculation for rubber cover
10,Flexo Printing Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,4290.0,ml,Estimated usage scaled by quantity
10,Flexo Printing Roller,4,End Caps (if applicable),Steel or Aluminum,156,pieces,2 end caps per roller
10,Flexo Printing Roller,5,Bearings,Ball/Tapered Roller Bearing,156,pieces,2 bearings per roller
10,Flexo Printing Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
10,Flexo Printing Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
11,Glass Polishing Roller,1,Roller Core (Shaft),Stainless Steel (Glass Pol.),153,piece,Inner diameter ~ 23.0mm; length ~ 577.0mm
11,Glass Polishing Roller,2,Glass Polishing Rubber,Hardness ~ 27 Shore A,46.59,kg,Ring volume calculation for rubber cover
11,Glass Polishing Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,8415.0,ml,Estimated usage scaled by quantity
11,Glass Polishing Roller,4,End Caps (if applicable),Steel or Aluminum,306,pieces,2 end caps per roller
11,Glass Polishing Roller,5,Bearings,Ball/Tapered Roller Bearing,306,pieces,2 bearings per roller
11,Glass Polishing Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
11,Glass Polishing Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
12,Anti-Static Silicone Roller,1,Roller Core (Shaft),Stainless Steel (Anti-Static),134,piece,Inner diameter ~ 29.0mm; length ~ 771.0mm
12,Anti-Static Silicone Roller,2,Anti-Static Silicone Cover,Hardness ~ 56 Shore A,32.72,kg,Ring volume calculation for rubber cover
12,Anti-Static Silicone Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,6030.0,ml,Estimated usage scaled by quantity
12,Anti-Static Silicone Roller,4,End Caps (if applicable),Steel or Aluminum,268,pieces,2 end caps per roller
12,Anti-Static Silicone Roller,5,Bearings,Ball/Tapered Roller Bearing,268,pieces,2 bearings per roller
12,Anti-Static Silicone Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
12,Anti-Static Silicone Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
13,Anti-Static Silicone Roller,1,Roller Core (Shaft),Stainless Steel (Anti-Static),173,piece,Inner diameter ~ 22.0mm; length ~ 495.0mm
13,Anti-Static Silicone Roller,2,Anti-Static Silicone Cover,Hardness ~ 59 Shore A,67.8,kg,Ring volume calculation for rubber cover
13,Anti-Static Silicone Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,7785.0,ml,Estimated usage scaled by quantity
13,Anti-Static Silicone Roller,4,End Caps (if applicable),Steel or Aluminum,346,pieces,2 end caps per roller
13,Anti-Static Silicone Roller,5,Bearings,Ball/Tapered Roller Bearing,346,pieces,2 bearings per roller
13,Anti-Static Silicone Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
13,Anti-Static Silicone Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
14,Offset Printing Rubber Roller,1,Roller Core (Shaft),Alloy Steel (Offset Printing),36,piece,Inner diameter ~ 25.0mm; length ~ 560.0mm
14,Offset Printing Rubber Roller,2,Printing Rubber Compound,Hardness ~ 32 Shore A,17.75,kg,Ring volume calculation for rubber cover
14,Offset Printing Rubber Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,1800.0,ml,Estimated usage scaled by quantity
14,Offset Printing Rubber Roller,4,End Caps (if applicable),Steel or Aluminum,72,pieces,2 end caps per roller
14,Offset Printing Rubber Roller,5,Bearings,Ball/Tapered Roller Bearing,72,pieces,2 bearings per roller
14,Offset Printing Rubber Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
14,Offset Printing Rubber Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
15,Custom Rubber Roller,1,Roller Core (Shaft),Generic Steel (Custom),66,piece,Inner diameter ~ 25.0mm; length ~ 670.0mm
15,Custom Rubber Roller,2,Custom Rubber Compound,Hardness ~ 63 Shore A,66.02,kg,Ring volume calculation for rubber cover
15,Custom Rubber Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,3300.0,ml,Estimated usage scaled by quantity
15,Custom Rubber Roller,4,End Caps (if applicable),Steel or Aluminum,132,pieces,2 end caps per roller
15,Custom Rubber Roller,5,Bearings,Ball/Tapered Roller Bearing,132,pieces,2 bearings per roller
15,Custom Rubber Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
15,Custom Rubber Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
16,Steel Coil Tension Roller,1,Roller Core (Shaft),Carbon Steel (Heavy-Duty),181,piece,Inner diameter ~ 20.0mm; length ~ 607.0mm
16,Steel Coil Tension Roller,2,High-Tension PU Cover,Hardness ~ 75 Shore A,307.3,kg,Ring volume calculation for rubber cover
16,Steel Coil Tension Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,12670.0,ml,Estimated usage scaled by quantity
16,Steel Coil Tension Roller,4,End Caps (if applicable),Steel or Aluminum,362,pieces,2 end caps per roller
16,Steel Coil Tension Roller,5,Bearings,Ball/Tapered Roller Bearing,362,pieces,2 bearings per roller
16,Steel Coil Tension Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
16,Steel Coil Tension Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
17,PU Coating Roller,1,Roller Core (Shaft),Carbon Steel (PU Coating),116,piece,Inner diameter ~ 30.0mm; length ~ 573.0mm
17,PU Coating Roller,2,PU Cover Compound,Hardness ~ 65 Shore A,45.68,kg,Ring volume calculation for rubber cover
17,PU Coating Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,7540.0,ml,Estimated usage scaled by quantity
17,PU Coating Roller,4,End Caps (if applicable),Steel or Aluminum,232,pieces,2 end caps per roller
17,PU Coating Roller,5,Bearings,Ball/Tapered Roller Bearing,232,pieces,2 bearings per roller
17,PU Coating Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
17,PU Coating Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
18,Synthetic Rubber Dust Collection Roller,1,Roller Core (Shaft),Carbon Steel (Dust Coll.),167,piece,Inner diameter ~ 23.0mm; length ~ 571.0mm
18,Synthetic Rubber Dust Collection Roller,2,Synthetic Dust Cover,Hardness ~ 42 Shore A,61.51,kg,Ring volume calculation for rubber cover
18,Synthetic Rubber Dust Collection Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,7515.0,ml,Estimated usage scaled by quantity
18,Synthetic Rubber Dust Collection Roller,4,End Caps (if applicable),Steel or Aluminum,334,pieces,2 end caps per roller
18,Synthetic Rubber Dust Collection Roller,5,Bearings,Ball/Tapered Roller Bearing,334,pieces,2 bearings per roller
18,Synthetic Rubber Dust Collection Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
18,Synthetic Rubber Dust Collection Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
19,Textile Squeeze Roller,1,Roller Core (Shaft),Steel (Textile Grade),41,piece,Inner diameter ~ 24.0mm; length ~ 631.0mm
19,Textile Squeeze Roller,2,Textile Rubber Compound,Hardness ~ 33 Shore A,4.86,kg,Ring volume calculation for rubber cover
19,Textile Squeeze Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,2255.0,ml,Estimated usage scaled by quantity
19,Textile Squeeze Roller,4,End Caps (if applicable),Steel or Aluminum,82,pieces,2 end caps per roller
19,Textile Squeeze Roller,5,Bearings,Ball/Tapered Roller Bearing,82,pieces,2 bearings per roller
19,Textile Squeeze Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
19,Textile Squeeze Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
20,Static Dissipative Roller,1,Roller Core (Shaft),Stainless Steel (ESD),59,piece,Inner diameter ~ 26.0mm; length ~ 668.0mm
20,Static Dissipative Roller,2,ESD Rubber Compound,Hardness ~ 26 Shore A,44.26,kg,Ring volume calculation for rubber cover
20,Static Dissipative Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,2950.0,ml,Estimated usage scaled by quantity
20,Static Dissipative Roller,4,End Caps (if applicable),Steel or Aluminum,118,pieces,2 end caps per roller
20,Static Dissipative Roller,5,Bearings,Ball/Tapered Roller Bearing,118,pieces,2 bearings per roller
20,Static Dissipative Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
20,Static Dissipative Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
21,Static Dissipative Roller,1,Roller Core (Shaft),Stainless Steel (ESD),183,piece,Inner diameter ~ 27.0mm; length ~ 762.0mm
21,Static Dissipative Roller,2,ESD Rubber Compound,Hardness ~ 46 Shore A,120.16,kg,Ring volume calculation for rubber cover
21,Static Dissipative Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,9150.0,ml,Estimated usage scaled by quantity
21,Static Dissipative Roller,4,End Caps (if applicable),Steel or Aluminum,366,pieces,2 end caps per roller
21,Static Dissipative Roller,5,Bearings,Ball/Tapered Roller Bearing,366,pieces,2 bearings per roller
21,Static Dissipative Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
21,Static Dissipative Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
22,Offset Printing Rubber Roller,1,Roller Core (Shaft),Alloy Steel (Offset Printing),141,piece,Inner diameter ~ 21.0mm; length ~ 472.0mm
22,Offset Printing Rubber Roller,2,Printing Rubber Compound,Hardness ~ 32 Shore A,20.62,kg,Ring volume calculation for rubber cover
22,Offset Printing Rubber Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,7050.0,ml,Estimated usage scaled by quantity
22,Offset Printing Rubber Roller,4,End Caps (if applicable),Steel or Aluminum,282,pieces,2 end caps per roller
22,Offset Printing Rubber Roller,5,Bearings,Ball/Tapered Roller Bearing,282,pieces,2 bearings per roller
22,Offset Printing Rubber Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
22,Offset Printing Rubber Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
23,Flexo Printing Roller,1,Roller Core (Shaft),Alloy Steel (Flexo),76,piece,Inner diameter ~ 22.0mm; length ~ 808.0mm
23,Flexo Printing Roller,2,Flexo Rubber Compound,Hardness ~ 34 Shore A,27.15,kg,Ring volume calculation for rubber cover
23,Flexo Printing Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,4180.0,ml,Estimated usage scaled by quantity
23,Flexo Printing Roller,4,End Caps (if applicable),Steel or Aluminum,152,pieces,2 end caps per roller
23,Flexo Printing Roller,5,Bearings,Ball/Tapered Roller Bearing,152,pieces,2 bearings per roller
23,Flexo Printing Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
23,Flexo Printing Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
24,Static Dissipative Roller,1,Roller Core (Shaft),Stainless Steel (ESD),113,piece,Inner diameter ~ 25.0mm; length ~ 793.0mm
24,Static Dissipative Roller,2,ESD Rubber Compound,Hardness ~ 50 Shore A,55.5,kg,Ring volume calculation for rubber cover
24,Static Dissipative Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,5650.0,ml,Estimated usage scaled by quantity
24,Static Dissipative Roller,4,End Caps (if applicable),Steel or Aluminum,226,pieces,2 end caps per roller
24,Static Dissipative Roller,5,Bearings,Ball/Tapered Roller Bearing,226,pieces,2 bearings per roller
24,Static Dissipative Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
24,Static Dissipative Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
25,Food-Grade Silicone Roller,1,Roller Core (Shaft),Stainless Steel (Food Grade),173,piece,Inner diameter ~ 24.0mm; length ~ 453.0mm
25,Food-Grade Silicone Roller,2,Food-Grade Silicone Cover,Hardness ~ 44 Shore A,17.13,kg,Ring volume calculation for rubber cover
25,Food-Grade Silicone Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,7785.0,ml,Estimated usage scaled by quantity
25,Food-Grade Silicone Roller,4,End Caps (if applicable),Steel or Aluminum,346,pieces,2 end caps per roller
25,Food-Grade Silicone Roller,5,Bearings,Ball/Tapered Roller Bearing,346,pieces,2 bearings per roller
25,Food-Grade Silicone Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
25,Food-Grade Silicone Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
26,High-Viscosity Cleaning Roller,1,Roller Core (Shaft),Aluminum Core,194,piece,Inner diameter ~ 26.0mm; length ~ 441.0mm
26,High-Viscosity Cleaning Roller,2,High-Viscosity Compound,Hardness ~ 28 Shore A,30.53,kg,Ring volume calculation for rubber cover
26,High-Viscosity Cleaning Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,12610.0,ml,Estimated usage scaled by quantity
26,High-Viscosity Cleaning Roller,4,End Caps (if applicable),Steel or Aluminum,388,pieces,2 end caps per roller
26,High-Viscosity Cleaning Roller,5,Bearings,Ball/Tapered Roller Bearing,388,pieces,2 bearings per roller
26,High-Viscosity Cleaning Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
26,High-Viscosity Cleaning Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
27,Anti-Static Silicone Roller,1,Roller Core (Shaft),Stainless Steel (Anti-Static),143,piece,Inner diameter ~ 29.0mm; length ~ 593.0mm
27,Anti-Static Silicone Roller,2,Anti-Static Silicone Cover,Hardness ~ 57 Shore A,70.49,kg,Ring volume calculation for rubber cover
27,Anti-Static Silicone Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,6435.0,ml,Estimated usage scaled by quantity
27,Anti-Static Silicone Roller,4,End Caps (if applicable),Steel or Aluminum,286,pieces,2 end caps per roller
27,Anti-Static Silicone Roller,5,Bearings,Ball/Tapered Roller Bearing,286,pieces,2 bearings per roller
27,Anti-Static Silicone Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
27,Anti-Static Silicone Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
28,IIR Rubber Dust Collection Roller,1,Roller Core (Shaft),Carbon Steel (Dust Coll.),8,piece,Inner diameter ~ 25.0mm; length ~ 690.0mm
28,IIR Rubber Dust Collection Roller,2,IIR Rubber Cover,Hardness ~ 35 Shore A,1.12,kg,Ring volume calculation for rubber cover
28,IIR Rubber Dust Collection Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,320.0,ml,Estimated usage scaled by quantity
28,IIR Rubber Dust Collection Roller,4,End Caps (if applicable),Steel or Aluminum,16,pieces,2 end caps per roller
28,IIR Rubber Dust Collection Roller,5,Bearings,Ball/Tapered Roller Bearing,16,pieces,2 bearings per roller
28,IIR Rubber Dust Collection Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
28,IIR Rubber Dust Collection Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
29,High-Viscosity Cleaning Roller,1,Roller Core (Shaft),Aluminum Core,41,piece,Inner diameter ~ 26.0mm; length ~ 526.0mm
29,High-Viscosity Cleaning Roller,2,High-Viscosity Compound,Hardness ~ 28 Shore A,12.91,kg,Ring volume calculation for rubber cover
29,High-Viscosity Cleaning Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,2665.0,ml,Estimated usage scaled by quantity
29,High-Viscosity Cleaning Roller,4,End Caps (if applicable),Steel or Aluminum,82,pieces,2 end caps per roller
29,High-Viscosity Cleaning Roller,5,Bearings,Ball/Tapered Roller Bearing,82,pieces,2 bearings per roller
29,High-Viscosity Cleaning Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
29,High-Viscosity Cleaning Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
30,Manual Adhesive Roller,1,Roller Core (Shaft),Aluminum (Manual Roller),58,piece,Inner diameter ~ 25.0mm; length ~ 522.0mm
30,Manual Adhesive Roller,2,Adhesive Roller Cover,Hardness ~ 31 Shore A,14.98,kg,Ring volume calculation for rubber cover
30,Manual Adhesive Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,2320.0,ml,Estimated usage scaled by quantity
30,Manual Adhesive Roller,4,End Caps (if applicable),Steel or Aluminum,116,pieces,2 end caps per roller
30,Manual Adhesive Roller,5,Bearings,Ball/Tapered Roller Bearing,116,pieces,2 bearings per roller
30,Manual Adhesive Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
30,Manual Adhesive Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
31,PCB Lamination Roller,1,Roller Core (Shaft),Stainless Steel (PCB Grade),58,piece,Inner diameter ~ 25.0mm; length ~ 408.0mm
31,PCB Lamination Roller,2,PCB Lamination Compound,Hardness ~ 55 Shore A,27.3,kg,Ring volume calculation for rubber cover
31,PCB Lamination Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,3480.0,ml,Estimated usage scaled by quantity
31,PCB Lamination Roller,4,End Caps (if applicable),Steel or Aluminum,116,pieces,2 end caps per roller
31,PCB Lamination Roller,5,Bearings,Ball/Tapered Roller Bearing,116,pieces,2 bearings per roller
31,PCB Lamination Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
31,PCB Lamination Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
32,Textile Squeeze Roller,1,Roller Core (Shaft),Steel (Textile Grade),65,piece,Inner diameter ~ 22.0mm; length ~ 692.0mm
32,Textile Squeeze Roller,2,Textile Rubber Compound,Hardness ~ 49 Shore A,14.5,kg,Ring volume calculation for rubber cover
32,Textile Squeeze Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,3575.0,ml,Estimated usage scaled by quantity
32,Textile Squeeze Roller,4,End Caps (if applicable),Steel or Aluminum,130,pieces,2 end caps per roller
32,Textile Squeeze Roller,5,Bearings,Ball/Tapered Roller Bearing,130,pieces,2 bearings per roller
32,Textile Squeeze Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
32,Textile Squeeze Roller,7,Packaging/Protection,"Shrink Film, Cardboard, Foam",1,set,Bulk or individual packaging
33,Textile Squeeze Roller,1,Roller Core (Shaft),Steel (Textile Grade),109,piece,Inner diameter ~ 22.0mm; length ~ 409.0mm
33,Textile Squeeze Roller,2,Textile Rubber Compound,Hardness ~ 50 Shore A,7.73,kg,Ring volume calculation for rubber cover
33,Textile Squeeze Roller,3,Adhesive (Bonding Agent),Metal-to-Rubber Cement,5995.0,ml,Estimated usage scaled by quantity
33,Textile Squeeze Roller,4,End Caps (if applicable),Steel or Aluminum,218,pieces,2 end caps per roller
33,Textile Squeeze Roller,5,Bearings,Ball/Tapered Roller Bearing,218,pieces,2 bearings per roller
33,Textile Squeeze Roller,6,Surface Finish (Grinding),n/a,1,service,Precision grinding to final OD & TIR
